Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936.0,30716.0,196631588.0,92.0,84274754.0,1713126.0,5767700.0,651565900.0,5332281936.0,"150,597,040",210.0,40975.0,684,62.0,17598718.0,114.0,18004655.0,22931.0,4818457.0,2669262.0,,0
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884.0,28113.0,174597137.0,92.0,116347040.0,3486739.0,674700.0,35223547.0,208339025.0,"156,380,351",188.0,40778.0,3,67.0,10422430.0,111.0,7780028.0,28444.0,6623075.0,1118279.0,,1
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283.0,54331.0,211607669.0,92.0,122599116.0,2228730.0,3025400.0,275154237.0,3369120610.0,"373,784,955",190.0,74333.0,536,136.0,36321847.0,172.0,5022621.0,5639.0,7208651.0,5285340.0,,0
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444.9,2031280633.0,269802.0,136569078.0,85.0,1096100899.0,10629796.0,7189811.0,1078757968.0,14603725994.0,"3,351,188,582",394.0,1474799.0,"2,182",264.0,24684248.0,210.0,190260277.0,203384.0,,11822942.0,,0
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922.0,7223.0,151469874.0,88.0,77373957.0,3670188.0,16400.0,,,"112,763,851",182.0,12185.0,1,82.0,17660624.0,105.0,4493884.0,7006.0,207179.0,457017.0,,1
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438.0,105892.0,175421034.0,83.0,131148091.0,1392593.0,4202367.0,214943489.0,2938686633.0,"2,867,222,632",138.0,522042.0,"4,654",86.0,17167254.0,152.0,138529362.0,50982.0,9438601.0,4517131.0,,1
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751.0,73118.0,201585714.0,86.0,308723145.0,4120760.0,,29584940.0,534915313.0,"4,601,579,812",280.0,383478.0,429,168.0,48197850.0,154.0,65447476.0,57372.0,,9990302.0,,0
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,675079153.0,40094.0,211236940.0,92.0,228382568.0,1439495.0,3500000.0,338546668.0,3804584163.0,"2,112,581,620",160.0,17221.0,30,87.0,33245595.0,53.0,3372428.0,5762.0,,6063523.0,,1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9,355.7,1653018119.0,1.0,15.0,,,,,,,,,,,,,,,,,,,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573.0,10400.0,184199419.0,86.0,32735244.0,988682.0,325800.0,121574500.0,974656200.0,"174,706,874",191.0,3823.0,117,78.0,10800098.0,92.0,1005626.0,842.0,3679709.0,666302.0,,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322.1,250080413.0,16219.0,168766158.0,91.0,32229063.0,550191.0,,184500.0,2100000.0,"327,130,768",157.0,62312.0,71,60.0,12009073.0,114.0,23155471.0,21172.0,1594605.0,963413.0,,1
The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,12,320.2,111155129.0,2.0,263767.0,,,,,,,,,,,,,2.0,,,,,,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13,316.3,221636195.0,13800.0,197280692.0,92.0,40022524.0,1307290.0,195300.0,45889000.0,360017000.0,"342,107,131",244.0,41344.0,45,138.0,38243636.0,163.0,1354692.0,1219.0,1313357.0,450344.0,,0
Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308.2,355186436.0,43025.0,108168634.0,88.0,98081493.0,1456177.0,,,,"174,491,415",153.0,90237.0,3,55.0,3001826.0,109.0,26252264.0,18364.0,12038034.0,1963314.0,,1
bathroom floor,bathroom floor,Kids With Buns,2022-10-07,NLC242100307,15,301.6,297185.0,277.0,24445.0,12.0,6736502312.0,16785489.0,3.0,1088.0,22234.0,,1.0,1057.0,,,,,,,,3288.0,,0
LALA,LALA - Single,Myke Towers,2023-03-22,USWL12300002,16,299.9,925655569.0,103605.0,79944921.0,79.0,934302031.0,4294166.0,11054500.0,521725116.0,7499234052.0,"2,042,145,659",94.0,92231.0,228,60.0,5633435.0,83.0,12171026.0,13242.0,871978.0,2765808.0,,1
