week_date,rank,song_title,artist_name,weeks_on_chart,peak_rank,previous_week_rank
2025-04-08,36,No One Noticed,The Marias,27,22,40
2025-04-08,37,"Good Luck, Babe!",Chappell Roan,51,4,37
2025-04-08,38,Dandelion,Ariana Grande,1,38,0
2025-04-08,39,Sailor Song,Gigi Perez,33,22,39
2025-04-08,40,Bad Dreams,Teddy Swims,18,40,42
2025-04-08,41,DTMF,Bad Bunny,13,2,41
2025-04-08,42,Intro (End Of The World),Ariana Grande,3,38,0
2025-04-08,43,Bed Chem,Sabrina Carpenter,32,14,35
2025-04-08,44,Indigo,Sam Barber Featuring Avery Anna,17,42,47
2025-04-08,45,Worst Way,Riley Green,12,45,52
2025-04-08,46,Wildflower,Billie Eilish,42,17,50
2025-04-08,47,Sorry I'm Here For Someone Else,Benson Boone,5,44,44
2025-04-08,48,BMF,SZA,15,29,45
2025-04-08,49,Residuals,Chris Brown,30,40,51
2025-04-08,50,Evil J0rdan,Playboi Carti,3,2,27
2025-04-15,1,Luther,Kendrick Lamar & SZA,20,1,1
2025-04-15,2,Nokia,Drake,8,2,3
2025-04-15,3,Die With A Smile,Lady Gaga & Bruno Mars,34,1,2
2025-04-15,4,All The Way,BigXthaPlug Featuring Bailey Zimmerman,1,4,0
2025-04-15,5,Pink Pony Club,Chappell Roan,43,5,5
2025-04-15,6,A Bar Song (Tipsy),Shaboozey,52,1,4
2025-04-15,7,Ordinary,Alex Warren,9,7,14
2025-04-15,8,Lose Control,Teddy Swims,86,1,6
2025-04-15,9,I'm The Problem,Morgan Wallen,10,2,9
2025-04-15,10,Beautiful Things,Benson Boone,63,2,11
2025-04-15,11,Birds Of A Feather,Billie Eilish,47,2,10
2025-04-15,12,Just In Case,Morgan Wallen,3,4,8
2025-04-15,13,APT.,ROSE & Bruno Mars,25,3,7
2025-04-15,14,Anxiety,Doechii,5,10,12
2025-04-15,15,That's So True,Gracie Abrams,25,6,13
2025-04-15,16,Not Like Us,Kendrick Lamar,48,1,15
2025-04-15,17,Espresso,Sabrina Carpenter,52,3,20
2025-04-15,18,TV Off,Kendrick Lamar Featuring Lefty Gunplay,20,2,16
2025-04-15,19,Love Somebody,Morgan Wallen,25,1,17
2025-04-15,20,I Had Some Help,Post Malone Featuring Morgan Wallen,48,1,19
2025-04-15,21,Mutt,Leon Thomas,10,21,21
2025-04-15,22,Messy,Lola Young,19,14,22
2025-04-15,23,Squabble Up,Kendrick Lamar,20,1,23
2025-04-15,24,Sports Car,Tate McRae,11,16,25
2025-04-15,25,30 For 30,SZA With Kendrick Lamar,16,10,24
2025-04-15,26,Timeless,The Weeknd & Playboi Carti,28,3,26
2025-04-15,27,Taste,Sabrina Carpenter,33,2,27
2025-04-15,28,Azizam,Ed Sheeran,1,28,0
2025-04-15,29,I Never Lie,Zach Top,29,29,31
2025-04-15,30,Stargazing,Myles Smith,47,19,32
2025-04-15,31,No One Noticed,The Marias,28,22,36
2025-04-15,32,I'm A Little Crazy,Morgan Wallen,3,17,30
2025-04-15,33,Dark Thoughts,Lil Tecca,4,28,28
2025-04-15,34,Caramel,Sleep Token,1,34,0
2025-04-15,35,Denial Is A River,Doechii,14,21,34
2025-04-15,36,Sailor Song,Gigi Perez,34,22,39
2025-04-15,37,Bad Dreams,Teddy Swims,19,37,40
2025-04-15,38,Abracadabra,Lady Gaga,10,13,33
2025-04-15,39,"Good Luck, Babe!",Chappell Roan,52,4,37
2025-04-15,40,The Giver,Chappell Roan,4,5,29
2025-04-15,41,Twilight Zone,Ariana Grande,2,18,18
2025-04-15,42,Worst Way,Riley Green,13,42,45
2025-04-15,43,Indigo,Sam Barber Featuring Avery Anna,18,42,44
2025-04-15,44,Good News,Shaboozey,20,44,51
2025-04-15,45,Wildflower,Billie Eilish,43,17,46
2025-04-15,46,Rather Lie,Playboi Carti & The Weeknd,4,4,35
2025-04-15,47,Sorry I'm Here For Someone Else,Benson Boone,6,44,47
2025-04-15,48,DTMF,Bad Bunny,14,2,41
2025-04-15,49,Cry For Me,The Weeknd,10,12,52
2025-04-15,50,Residuals,Chris Brown,31,40,49
2025-04-22,1,Luther,Kendrick Lamar & SZA,21,1,1
2025-04-22,2,Die With A Smile,Lady Gaga & Bruno Mars,35,1,3
2025-04-22,3,Nokia,Drake,9,2,2
2025-04-22,4,Pink Pony Club,Chappell Roan,44,4,5
2025-04-22,5,Ordinary,Alex Warren,10,5,7
2025-04-22,6,A Bar Song (Tipsy),Shaboozey,53,1,6
2025-04-22,7,Lose Control,Teddy Swims,87,1,8
2025-04-22,8,All The Way,BigXthaPlug Featuring Bailey Zimmerman,2,4,4
2025-04-22,9,Beautiful Things,Benson Boone,64,2,10
2025-04-22,10,I'm The Problem,Morgan Wallen,11,2,9
2025-04-22,11,Just In Case,Morgan Wallen,4,4,12
2025-04-22,12,Birds Of A Feather,Billie Eilish,48,2,11
2025-04-22,13,APT.,ROSE & Bruno Mars,26,3,13
2025-04-22,14,Anxiety,Doechii,6,10,14
2025-04-22,15,Espresso,Sabrina Carpenter,53,3,17
2025-04-22,16,Mutt,Leon Thomas,11,16,21
2025-04-22,17,I Had Some Help,Post Malone Featuring Morgan Wallen,49,1,20
2025-04-22,18,That's So True,Gracie Abrams,26,6,15
2025-04-22,19,Not Like Us,Kendrick Lamar,49,1,16
2025-04-22,20,Love Somebody,Morgan Wallen,26,1,19
2025-04-22,21,TV Off,Kendrick Lamar Featuring Lefty Gunplay,21,2,18
2025-04-22,22,Messy,Lola Young,20,14,22
2025-04-22,23,Sports Car,Tate McRae,12,16,24
2025-04-22,24,Squabble Up,Kendrick Lamar,21,1,23
2025-04-22,25,30 For 30,SZA With Kendrick Lamar,17,10,25
2025-04-22,26,Abracadabra,Lady Gaga,11,13,38
2025-04-22,27,Timeless,The Weeknd & Playboi Carti,29,3,26
2025-04-22,28,Taste,Sabrina Carpenter,34,2,27
2025-04-22,29,I Never Lie,Zach Top,30,29,29
2025-04-22,30,No One Noticed,The Marias,29,22,31
2025-04-22,31,Stargazing,Myles Smith,48,19,30
2025-04-22,32,Bad Dreams,Teddy Swims,20,32,37
2025-04-22,33,Fortnight,Taylor Swift Featuring Post Malone,21,1,0
2025-04-22,34,Good News,Shaboozey,21,34,44
2025-04-22,35,Sailor Song,Gigi Perez,35,22,36
2025-04-22,36,Sorry I'm Here For Someone Else,Benson Boone,7,36,47
2025-04-22,37,I'm A Little Crazy,Morgan Wallen,4,17,32
2025-04-22,38,Worst Way,Riley Green,14,38,42
2025-04-22,39,Azizam,Ed Sheeran,2,28,28
2025-04-22,40,Indigo,Sam Barber Featuring Avery Anna,19,40,43
2025-04-22,41,Dark Thoughts,Lil Tecca,5,28,33
2025-04-22,42,Denial Is A River,Doechii,15,21,35
2025-04-22,43,Cry For Me,The Weeknd,11,12,49
2025-04-22,44,Wildflower,Billie Eilish,44,17,45
2025-04-22,45,DTMF,Bad Bunny,15,2,48
2025-04-22,46,Residuals,Chris Brown,32,40,50
2025-04-22,47,Twilight Zone,Ariana Grande,3,18,41
2025-04-22,48,Me Jalo,Fuerza Regida & Grupo Frontera,9,48,53
2025-04-22,49,Rather Lie,Playboi Carti & The Weeknd,5,4,46
2025-04-22,50,Am I Okay?,Megan Moroney,32,50,55
2025-04-29,1,Luther,Kendrick Lamar & SZA,22,1,1
2025-04-29,2,Die With A Smile,Lady Gaga & Bruno Mars,36,1,2
2025-04-29,3,Ordinary,Alex Warren,11,3,5
2025-04-29,4,Nokia,Drake,10,2,3
2025-04-29,5,A Bar Song (Tipsy),Shaboozey,54,1,6
2025-04-29,6,Pink Pony Club,Chappell Roan,45,4,4
2025-04-29,7,I'm The Problem,Morgan Wallen,12,2,10
2025-04-29,8,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,1,8,0
2025-04-29,9,Lose Control,Teddy Swims,88,1,7
2025-04-29,10,Beautiful Things,Benson Boone,65,2,9
2025-04-29,11,All The Way,BigXthaPlug Featuring Bailey Zimmerman,3,4,8
2025-04-29,12,Anxiety,Doechii,7,10,14
2025-04-29,13,Birds Of A Feather,Billie Eilish,49,2,12
2025-04-29,14,Just In Case,Morgan Wallen,5,4,11
2025-04-29,15,I Had Some Help,Post Malone Featuring Morgan Wallen,50,1,17
2025-04-29,16,APT.,ROSE & Bruno Mars,27,3,13
2025-04-29,17,Love Somebody,Morgan Wallen,27,1,20
2025-04-29,18,Mutt,Leon Thomas,12,16,16
2025-04-29,19,Espresso,Sabrina Carpenter,54,3,15
2025-04-29,20,That's So True,Gracie Abrams,27,6,18
2025-04-29,21,Not Like Us,Kendrick Lamar,50,1,19
2025-04-29,22,Messy,Lola Young,21,14,22
2025-04-29,23,TV Off,Kendrick Lamar Featuring Lefty Gunplay,22,2,21
2025-04-29,24,30 For 30,SZA With Kendrick Lamar,18,10,25
2025-04-29,25,Sports Car,Tate McRae,13,16,23
2025-04-29,26,Abracadabra,Lady Gaga,12,13,26
2025-04-29,27,Squabble Up,Kendrick Lamar,22,1,24
2025-04-29,28,Stargazing,Myles Smith,49,19,31
2025-04-29,29,No One Noticed,The Marias,30,22,30
2025-04-29,30,Bad Dreams,Teddy Swims,21,30,32
2025-04-29,31,I Never Lie,Zach Top,31,29,29
2025-04-29,32,Timeless,The Weeknd & Playboi Carti,30,3,27
2025-04-29,33,Taste,Sabrina Carpenter,35,2,28
2025-04-29,34,Sorry I'm Here For Someone Else,Benson Boone,8,34,36
2025-04-29,35,Blue Strips,Jessie Murph,2,35,81
2025-04-29,36,Worst Way,Riley Green,15,36,38
2025-04-29,37,Good News,Shaboozey,22,34,34
2025-04-29,38,Sailor Song,Gigi Perez,36,22,35
2025-04-29,39,Weren't For The Wind,Ella Langley,12,39,52
2025-04-29,40,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,10,40,63
2025-04-29,41,I'm A Little Crazy,Morgan Wallen,5,17,37
2025-04-29,42,Azizam,Ed Sheeran,3,28,39
2025-04-29,43,Wildflower,Billie Eilish,45,17,44
2025-04-29,44,Cry For Me,The Weeknd,12,12,43
2025-04-29,45,Dark Thoughts,Lil Tecca,6,28,41
2025-04-29,46,Residuals,Chris Brown,33,40,46
2025-04-29,47,Denial Is A River,Doechii,16,21,42
2025-04-29,48,DTMF,Bad Bunny,16,2,45
2025-04-29,49,Indigo,Sam Barber Featuring Avery Anna,20,40,40
2025-04-29,50,Am I Okay?,Megan Moroney,33,50,50
2025-05-06,1,Luther,Kendrick Lamar & SZA,23,1,1
2025-05-06,2,Ordinary,Alex Warren,12,2,3
2025-05-06,3,Die With A Smile,Lady Gaga & Bruno Mars,37,1,2
2025-05-06,4,Nokia,Drake,11,2,4
2025-05-06,5,A Bar Song (Tipsy),Shaboozey,55,1,5
2025-05-06,6,Pink Pony Club,Chappell Roan,46,4,6
2025-05-06,7,Lose Control,Teddy Swims,89,1,9
2025-05-06,8,I'm The Problem,Morgan Wallen,13,2,7
2025-05-06,9,Beautiful Things,Benson Boone,66,2,10
2025-05-06,10,Anxiety,Doechii,8,10,12
2025-05-06,11,All The Way,BigXthaPlug Featuring Bailey Zimmerman,4,4,11
2025-05-06,12,Birds Of A Feather,Billie Eilish,50,2,13
2025-05-06,13,Just In Case,Morgan Wallen,6,4,14
2025-05-06,14,I Had Some Help,Post Malone Featuring Morgan Wallen,51,1,15
2025-05-06,15,Mutt,Leon Thomas,13,15,18
2025-05-06,16,That's So True,Gracie Abrams,28,6,20
2025-05-06,17,Love Somebody,Morgan Wallen,28,1,17
2025-05-06,18,Blue Strips,Jessie Murph,3,18,35
2025-05-06,19,Espresso,Sabrina Carpenter,55,3,19
2025-05-06,20,APT.,ROSE & Bruno Mars,28,3,16
2025-05-06,21,Messy,Lola Young,22,14,22
2025-05-06,22,Not Like Us,Kendrick Lamar,51,1,21
2025-05-06,23,30 For 30,SZA With Kendrick Lamar,19,10,24
2025-05-06,24,TV Off,Kendrick Lamar Featuring Lefty Gunplay,23,2,23
2025-05-06,25,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,2,8,8
2025-05-06,26,No One Noticed,The Marias,31,22,29
2025-05-06,27,I Never Lie,Zach Top,32,27,31
2025-05-06,28,Squabble Up,Kendrick Lamar,23,1,27
2025-05-06,29,Stargazing,Myles Smith,50,19,28
2025-05-06,30,Taste,Sabrina Carpenter,36,2,33
2025-05-06,31,Bad Dreams,Teddy Swims,22,30,30
2025-05-06,32,Sports Car,Tate McRae,14,16,25
2025-05-06,33,Sorry I'm Here For Someone Else,Benson Boone,9,33,34
2025-05-06,34,Abracadabra,Lady Gaga,13,13,26
2025-05-06,35,Timeless,The Weeknd & Playboi Carti,31,3,32
2025-05-06,36,What Was That,Lorde,1,36,0
2025-05-06,37,Worst Way,Riley Green,16,36,36
2025-05-06,38,Good News,Shaboozey,23,34,37
2025-05-06,39,Money On Money,Young Thug Featuring Future,1,39,0
2025-05-06,40,Mystical Magical,Benson Boone,1,40,0
2025-05-06,41,Weren't For The Wind,Ella Langley,13,39,39
2025-05-06,42,Sailor Song,Gigi Perez,37,22,38
2025-05-06,43,Wildflower,Billie Eilish,46,17,43
2025-05-06,44,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,11,40,40
2025-05-06,45,Cry For Me,The Weeknd,13,12,44
2025-05-06,46,Dark Thoughts,Lil Tecca,7,28,45
2025-05-06,47,Damocles,Sleep Token,1,47,0
2025-05-06,48,Indigo,Sam Barber Featuring Avery Anna,21,40,49
2025-05-06,49,Azizam,Ed Sheeran,4,28,42
2025-05-06,50,Back To Friends,sombr,5,50,51
2025-05-13,1,Luther,Kendrick Lamar & SZA,24,1,1
2025-05-13,2,Ordinary,Alex Warren,13,2,2
2025-05-13,3,Die With A Smile,Lady Gaga & Bruno Mars,38,1,3
2025-05-13,4,A Bar Song (Tipsy),Shaboozey,56,1,5
2025-05-13,5,Nokia,Drake,12,2,4
2025-05-13,6,Pink Pony Club,Chappell Roan,47,4,6
2025-05-13,7,Lose Control,Teddy Swims,90,1,7
2025-05-13,8,Beautiful Things,Benson Boone,67,2,9
2025-05-13,9,Anxiety,Doechii,9,9,10
2025-05-13,10,I'm The Problem,Morgan Wallen,14,2,8
2025-05-13,11,Birds Of A Feather,Billie Eilish,51,2,12
2025-05-13,12,All The Way,BigXthaPlug Featuring Bailey Zimmerman,5,4,11
2025-05-13,13,Mutt,Leon Thomas,14,13,15
2025-05-13,14,I Had Some Help,Post Malone Featuring Morgan Wallen,52,1,14
2025-05-13,15,Blue Strips,Jessie Murph,4,15,18
2025-05-13,16,Love Somebody,Morgan Wallen,29,1,17
2025-05-13,17,Just In Case,Morgan Wallen,7,4,13
2025-05-13,18,Messy,Lola Young,23,14,21
2025-05-13,19,Espresso,Sabrina Carpenter,56,3,19
2025-05-13,20,APT.,ROSE & Bruno Mars,29,3,20
2025-05-13,21,That's So True,Gracie Abrams,29,6,16
2025-05-13,22,Not Like Us,Kendrick Lamar,52,1,22
2025-05-13,23,30 For 30,SZA With Kendrick Lamar,20,10,23
2025-05-13,24,I Never Lie,Zach Top,33,24,27
2025-05-13,25,Burning Blue,Mariah The Scientist,1,25,0
2025-05-13,26,Stargazing,Myles Smith,51,19,29
2025-05-13,27,TV Off,Kendrick Lamar Featuring Lefty Gunplay,24,2,24
2025-05-13,28,No One Noticed,The Marias,32,22,26
2025-05-13,29,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,3,8,25
2025-05-13,30,Bad Dreams,Teddy Swims,23,30,31
2025-05-13,31,Abracadabra,Lady Gaga,14,13,34
2025-05-13,32,Sorry I'm Here For Someone Else,Benson Boone,10,32,33
2025-05-13,33,Worst Way,Riley Green,17,33,37
2025-05-13,34,Sports Car,Tate McRae,15,16,32
2025-05-13,35,Squabble Up,Kendrick Lamar,24,1,28
2025-05-13,36,Backup Plan,Bailey Zimmerman & Luke Combs,1,36,0
2025-05-13,37,Timeless,The Weeknd & Playboi Carti,32,3,35
2025-05-13,38,Taste,Sabrina Carpenter,37,2,30
2025-05-13,39,Good News,Shaboozey,24,34,38
2025-05-13,40,Weren't For The Wind,Ella Langley,14,39,41
2025-05-13,41,Love Me Not,Ravyn Lenae,6,41,53
2025-05-13,42,Wildflower,Billie Eilish,47,17,43
2025-05-13,43,Sailor Song,Gigi Perez,38,22,42
2025-05-13,44,Undressed,sombr,5,44,56
2025-05-13,45,Mystical Magical,Benson Boone,2,40,40
2025-05-13,46,Cry For Me,The Weeknd,14,12,45
2025-05-13,47,Back To Friends,sombr,6,47,50
2025-05-13,48,Dark Thoughts,Lil Tecca,8,28,46
2025-05-13,49,Azizam,Ed Sheeran,5,28,49
2025-05-13,50,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,12,40,44
2025-05-20,1,Luther,Kendrick Lamar & SZA,25,1,1
2025-05-20,2,Ordinary,Alex Warren,14,2,2
2025-05-20,3,Die With A Smile,Lady Gaga & Bruno Mars,39,1,3
2025-05-20,4,A Bar Song (Tipsy),Shaboozey,57,1,4
2025-05-20,5,Nokia,Drake,13,2,5
2025-05-20,6,I'm The Problem,Morgan Wallen,15,2,10
2025-05-20,7,Lose Control,Teddy Swims,91,1,7
2025-05-20,8,Beautiful Things,Benson Boone,68,2,8
2025-05-20,9,Pink Pony Club,Chappell Roan,48,4,6
2025-05-20,10,Anxiety,Doechii,10,9,9
2025-05-20,11,Just In Case,Morgan Wallen,8,4,17
2025-05-20,12,Birds Of A Feather,Billie Eilish,52,2,11
2025-05-20,13,I Had Some Help,Post Malone Featuring Morgan Wallen,53,1,14
2025-05-20,14,Timeless,The Weeknd & Playboi Carti,33,3,37
2025-05-20,15,Blue Strips,Jessie Murph,5,15,15
2025-05-20,16,Superman,Morgan Wallen,1,16,0
2025-05-20,17,Mutt,Leon Thomas,15,13,13
2025-05-20,18,Love Somebody,Morgan Wallen,30,1,16
2025-05-20,19,All The Way,BigXthaPlug Featuring Bailey Zimmerman,6,4,12
2025-05-20,20,Messy,Lola Young,24,14,18
2025-05-20,21,Espresso,Sabrina Carpenter,57,3,19
2025-05-20,22,APT.,ROSE & Bruno Mars,30,3,20
2025-05-20,23,Not Like Us,Kendrick Lamar,53,1,22
2025-05-20,24,30 For 30,SZA With Kendrick Lamar,21,10,23
2025-05-20,25,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,4,8,29
2025-05-20,26,That's So True,Gracie Abrams,30,6,21
2025-05-20,27,Stargazing,Myles Smith,52,19,26
2025-05-20,28,Burning Blue,Mariah The Scientist,2,25,25
2025-05-20,29,Worst Way,Riley Green,18,29,33
2025-05-20,30,Sorry I'm Here For Someone Else,Benson Boone,11,30,32
2025-05-20,31,I Never Lie,Zach Top,34,24,24
2025-05-20,32,No One Noticed,The Marias,33,22,28
2025-05-20,33,Sports Car,Tate McRae,16,16,34
2025-05-20,34,TV Off,Kendrick Lamar Featuring Lefty Gunplay,25,2,27
2025-05-20,35,Weren't For The Wind,Ella Langley,15,35,40
2025-05-20,36,Abracadabra,Lady Gaga,15,13,31
2025-05-20,37,Undressed,sombr,6,37,44
2025-05-20,38,Squabble Up,Kendrick Lamar,25,1,35
2025-05-20,39,Am I Okay?,Megan Moroney,36,39,53
2025-05-20,40,Taste,Sabrina Carpenter,38,2,38
2025-05-20,41,Bad Dreams,Teddy Swims,24,30,30
2025-05-20,42,Mystical Magical,Benson Boone,3,40,45
2025-05-20,43,Love Me Not,Ravyn Lenae,7,41,41
2025-05-20,44,Wildflower,Billie Eilish,48,17,42
2025-05-20,45,Back To Friends,sombr,7,45,47
2025-05-20,46,Cry For Me,The Weeknd,15,12,46
2025-05-20,47,Sailor Song,Gigi Perez,39,22,43
2025-05-20,48,Good News,Shaboozey,25,34,39
2025-05-20,49,Dark Thoughts,Lil Tecca,9,28,48
2025-05-20,50,Backup Plan,Bailey Zimmerman & Luke Combs,2,36,36
2025-05-27,1,What I Want,Morgan Wallen Featuring Tate McRae,1,1,0
2025-05-27,2,Just In Case,Morgan Wallen,9,2,11
2025-05-27,3,I'm The Problem,Morgan Wallen,16,2,6
2025-05-27,4,Ordinary,Alex Warren,15,2,2
2025-05-27,5,Luther,Kendrick Lamar & SZA,26,1,1
2025-05-27,6,Die With A Smile,Lady Gaga & Bruno Mars,40,1,3
2025-05-27,7,I Got Better,Morgan Wallen,1,7,0
2025-05-27,8,Superman,Morgan Wallen,2,8,16
2025-05-27,9,A Bar Song (Tipsy),Shaboozey,58,1,4
2025-05-27,10,Love Somebody,Morgan Wallen,31,1,18
2025-05-27,11,Lose Control,Teddy Swims,92,1,7
2025-05-27,12,Nokia,Drake,14,2,5
2025-05-27,13,Anxiety,Doechii,11,9,10
2025-05-27,14,Beautiful Things,Benson Boone,69,2,8
2025-05-27,15,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,5,8,25
2025-05-27,16,Pink Pony Club,Chappell Roan,49,4,9
2025-05-27,17,Birds Of A Feather,Billie Eilish,53,2,12
2025-05-27,18,Mutt,Leon Thomas,16,13,17
2025-05-27,19,I Had Some Help,Post Malone Featuring Morgan Wallen,54,1,13
2025-05-27,20,20 Cigarettes,Morgan Wallen,1,20,0
2025-05-27,21,Kick Myself,Morgan Wallen,1,21,0
2025-05-27,22,Eyes Are Closed,Morgan Wallen,1,22,0
2025-05-27,23,All The Way,BigXthaPlug Featuring Bailey Zimmerman,7,4,19
2025-05-27,24,Espresso,Sabrina Carpenter,58,3,21
2025-05-27,25,Falling Apart,Morgan Wallen,1,25,0
2025-05-27,26,Blue Strips,Jessie Murph,6,15,15
2025-05-27,27,Messy,Lola Young,25,14,20
2025-05-27,28,APT.,ROSE & Bruno Mars,31,3,22
2025-05-27,29,"Skoal, Chevy, And Browning",Morgan Wallen,1,29,0
2025-05-27,30,Timeless,The Weeknd & Playboi Carti,34,3,14
2025-05-27,31,TN,Morgan Wallen,1,31,0
2025-05-27,32,Where'd That Girl Go,Morgan Wallen,1,32,0
2025-05-27,33,30 For 30,SZA With Kendrick Lamar,22,10,24
2025-05-27,34,Kiss Her In Front Of You,Morgan Wallen,1,34,0
2025-05-27,35,Worst Way,Riley Green,19,29,29
2025-05-27,36,That's So True,Gracie Abrams,31,6,26
2025-05-27,37,Burning Blue,Mariah The Scientist,3,25,28
2025-05-27,38,Sorry I'm Here For Someone Else,Benson Boone,12,30,30
2025-05-27,39,Sports Car,Tate McRae,17,16,33
2025-05-27,40,I'm A Little Crazy,Morgan Wallen,9,17,52
2025-05-27,41,If You Were Mine,Morgan Wallen,1,41,0
2025-05-27,42,Missing,Morgan Wallen,1,42,0
2025-05-27,43,No One Noticed,The Marias,34,22,32
2025-05-27,44,Weren't For The Wind,Ella Langley,16,35,35
2025-05-27,45,Smile,Morgan Wallen,21,4,68
2025-05-27,46,Genesis,Morgan Wallen,1,46,0
2025-05-27,47,TV Off,Kendrick Lamar Featuring Lefty Gunplay,26,2,34
2025-05-27,48,Don't We,Morgan Wallen,1,48,0
2025-05-27,49,Undressed,sombr,7,37,37
2025-05-27,50,Dark Til Daylight,Morgan Wallen,1,50,0
2025-06-03,1,Ordinary,Alex Warren,16,1,4
2025-06-03,2,What I Want,Morgan Wallen Featuring Tate McRae,2,1,1
2025-06-03,3,Just In Case,Morgan Wallen,10,2,2
2025-06-03,4,I'm The Problem,Morgan Wallen,17,2,3
2025-06-03,5,Luther,Kendrick Lamar & SZA,27,1,5
2025-06-03,6,A Bar Song (Tipsy),Shaboozey,59,1,9
2025-06-03,7,Die With A Smile,Lady Gaga & Bruno Mars,41,1,6
2025-06-03,8,Lose Control,Teddy Swims,93,1,11
2025-06-03,9,Nokia,Drake,15,2,12
2025-06-03,10,Beautiful Things,Benson Boone,70,2,14
2025-06-03,11,Anxiety,Doechii,12,9,13
2025-06-03,12,Pink Pony Club,Chappell Roan,50,4,16
2025-06-03,13,Birds Of A Feather,Billie Eilish,54,2,17
2025-06-03,14,Love Somebody,Morgan Wallen,32,1,10
2025-06-03,15,I Got Better,Morgan Wallen,2,7,7
2025-06-03,16,I Had Some Help,Post Malone Featuring Morgan Wallen,55,1,19
2025-06-03,17,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,6,8,15
2025-06-03,18,Mutt,Leon Thomas,17,13,18
2025-06-03,19,All The Way,BigXthaPlug Featuring Bailey Zimmerman,8,4,23
2025-06-03,20,Superman,Morgan Wallen,3,8,8
2025-06-03,21,Espresso,Sabrina Carpenter,59,3,24
2025-06-03,22,APT.,ROSE & Bruno Mars,32,3,28
2025-06-03,23,20 Cigarettes,Morgan Wallen,2,20,20
2025-06-03,24,Blue Strips,Jessie Murph,7,15,26
2025-06-03,25,Sports Car,Tate McRae,18,16,39
2025-06-03,26,Worst Way,Riley Green,20,26,35
2025-06-03,27,Messy,Lola Young,26,14,27
2025-06-03,28,Timeless,The Weeknd & Playboi Carti,35,3,30
2025-06-03,29,Undressed,sombr,8,29,49
2025-06-03,30,Sorry I'm Here For Someone Else,Benson Boone,13,30,38
2025-06-03,31,30 For 30,SZA With Kendrick Lamar,23,10,33
2025-06-03,32,Bloodline,Alex Warren With Jelly Roll,1,32,0
2025-06-03,33,That's So True,Gracie Abrams,32,6,36
2025-06-03,34,Weren't For The Wind,Ella Langley,17,34,44
2025-06-03,35,Burning Blue,Mariah The Scientist,4,25,37
2025-06-03,36,Back To Friends,sombr,9,36,62
2025-06-03,37,Love Me Not,Ravyn Lenae,9,37,59
2025-06-03,38,TV Off,Kendrick Lamar Featuring Lefty Gunplay,27,2,47
2025-06-03,39,No One Noticed,The Marias,35,22,43
2025-06-03,40,Am I Okay?,Megan Moroney,38,39,56
2025-06-03,41,Abracadabra,Lady Gaga,17,13,53
2025-06-03,42,Mystical Magical,Benson Boone,5,40,57
2025-06-03,43,Squabble Up,Kendrick Lamar,27,1,55
2025-06-03,44,Wildflower,Billie Eilish,50,17,58
2025-06-03,45,Eyes Are Closed,Morgan Wallen,2,22,22
2025-06-03,46,Good News,Shaboozey,27,34,64
2025-06-03,47,Cry For Me,The Weeknd,17,12,61
2025-06-03,48,TN,Morgan Wallen,2,31,31
2025-06-03,49,Dark Til Daylight,Morgan Wallen,2,49,50
2025-06-03,50,Kick Myself,Morgan Wallen,2,21,21
2025-06-10,1,Ordinary,Alex Warren,17,1,1
2025-06-10,2,What I Want,Morgan Wallen Featuring Tate McRae,3,1,2
2025-06-10,3,Just In Case,Morgan Wallen,11,2,3
2025-06-10,4,Luther,Kendrick Lamar & SZA,28,1,5
2025-06-10,5,I'm The Problem,Morgan Wallen,18,2,4
2025-06-10,6,A Bar Song (Tipsy),Shaboozey,60,1,6
2025-06-10,7,Die With A Smile,Lady Gaga & Bruno Mars,42,1,7
2025-06-10,8,Lose Control,Teddy Swims,94,1,8
2025-06-10,9,Beautiful Things,Benson Boone,71,2,10
2025-06-10,10,Nokia,Drake,16,2,9
2025-06-10,11,Anxiety,Doechii,13,9,11
2025-06-10,12,Pink Pony Club,Chappell Roan,51,4,12
2025-06-10,13,Birds Of A Feather,Billie Eilish,55,2,13
2025-06-10,14,Mutt,Leon Thomas,18,13,18
2025-06-10,15,I Had Some Help,Post Malone Featuring Morgan Wallen,56,1,16
2025-06-10,16,Blue Strips,Jessie Murph,8,15,24
2025-06-10,17,I Got Better,Morgan Wallen,3,7,15
2025-06-10,18,All The Way,BigXthaPlug Featuring Bailey Zimmerman,9,4,19
2025-06-10,19,Love Somebody,Morgan Wallen,33,1,14
2025-06-10,20,Espresso,Sabrina Carpenter,60,3,21
2025-06-10,21,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,7,8,17
2025-06-10,22,Sports Car,Tate McRae,19,16,25
2025-06-10,23,Worst Way,Riley Green,21,23,26
2025-06-10,24,APT.,ROSE & Bruno Mars,33,3,22
2025-06-10,25,Undressed,sombr,9,25,29
2025-06-10,26,Superman,Morgan Wallen,4,8,20
